SourceID,ProductID,AvgRating,ReviewCount,SatisfiedCount,CurrentPrice
S01,P0221,0.0,0,6825,44990000
S01,P0222,0.0,0,2784,17990000
S01,P0223,0.0,0,3829,16090000
S01,P0224,0.0,0,1602,37490000
S01,P0225,0.0,0,7310,25990000
S01,P0226,0.0,0,2875,49990000
S01,P0227,0.0,0,5480,30990000
S01,P0228,0.0,0,4703,30990000
S01,P0229,0.0,0,1051,59990000
S01,P0230,0.0,0,1818,34390000
S01,P0231,0.0,0,1452,49990000
S01,P0232,0.0,0,2746,50750000
S01,P0233,0.0,0,3409,31190000
S01,P0234,0.0,0,10430,39599000
S01,P0235,0.0,0,11273,39990000
S01,P0236,0.0,0,33571,15390000
S01,P0237,0.0,0,3534,30999000
S01,P0238,0.0,0,8292,32990000
S01,P0239,0.0,0,7209,35790000
S01,P0240,0.0,0,6321,27590000
S01,P0241,0.0,0,1961,31999000
S01,P0242,0.0,0,1126,62990000
S01,P0243,0.0,0,709,52590000
S01,P0244,0.0,1,22647,21990000
S01,P0245,0.0,0,15793,25990000
S01,P0246,0.0,0,3004,24790000
S01,P0247,0.0,0,4146,17690000
S01,P0248,0.0,0,8223,48990000
S01,P0249,0.0,0,7519,21990000
S01,P0250,0.0,0,14836,17999000
S01,P0251,0.0,0,8493,129990000
S01,P0252,0.0,0,4092,88990000
S01,P0253,0.0,0,3275,114990000
S01,P0254,0.0,0,1220,17990000
S01,P0255,0.0,0,12680,27890000
S01,P0256,0.0,0,3224,17190000
S01,P0257,0.0,0,1978,22990000
S01,P0258,0.0,0,6494,31990000
S01,P0259,0.0,0,86702,27890000
S01,P0260,0.0,0,3757,25990000
S01,P0261,0.0,0,6320,38990000
S01,P0262,0.0,0,2014,19490000
S01,P0263,0.0,0,1934,36890000
S01,P0264,0.0,0,20998,35490000
S01,P0265,0.0,0,1629,59590000
S01,P0266,0.0,0,3634,19990000
S01,P0267,0.0,0,2301,68890000
S01,P0268,0.0,0,3014,26990000
S01,P0269,0.0,0,1223,20699000
