ProductID,ProductName,Brand,Category,CPUBrand,CPUFamily,GPUType,GPUModel,RamCapacity,RamType,StorageCapacity,StorageType,DisplaySize,DisplayResolution,DisplayRefreshRate,OSFamily,DesignWeight,IsAiLaptop,IsAvailable
P0281,Laptop ASUS ExpertBook P1403CVA-I516-63WS (Intel Core i5-13420H | 14 inch FHD | 16GB | 512GB | Win 11 | Office | Xám),Asus,Office,Intel,Intel Core,Integrated,Intel Arc / Integrated,16.0,DDR5 / LPDDR5,512.0,SSD,"13"" - 14.5""",FHD / FHD+,60 - 90,Windows,1.4,False,True
P0282,Laptop HP OmniBook 5 16-ag1066AU BZ7S9PA (AMD Ryzen AI 7 350 | AMD Radeon 860M | 16 inch WUXGA | Touch | 16 GB | 512 GB | Windows 11 Home | Office | Bạc),HP,Office,AMD,AMD Ryzen AI,Integrated,AMD Radeon,16.0,DDR5 / LPDDR5,512.0,SSD,"15.6"" - 16.0""",FHD / FHD+,Other,Windows,1.79,True,True
P0283,Laptop ASUS TUF Gaming A15 FA506NCR-HN047W (AMD Ryzen 7 7435HS | RTX 3050 4GB | 15.6 inch FHD 144Hz | 16 GB | 512GB | Win 11 | Đen),Asus,Gaming,AMD,AMD Ryzen,Dedicated,Nvidia RTX/GTX,16.0,DDR5 / LPDDR5,512.0,SSD,"15.6"" - 16.0""",FHD / FHD+,120 - 165,Windows,2.3,False,True
P0284,Laptop Asus Vivobook 14 OLED A1405VA-KM095W (Core i5-13500H | 16GB | 512GB | Intel Iris Xe | 14 inch 2.8K OLED | Win 11 | Bạc),Asus,Office,Intel,Intel Core,Integrated,Intel Arc / Integrated,16.0,DDR4 / LPDDR4,512.0,SSD,"13"" - 14.5""",2K - 3K,60 - 90,Windows,1.6,False,True
P0285,Laptop Asus Zenbook S 13 OLED UX5304VA-NQ126W (Core i7-1355U | 32GB | 1TB | Intel Iris Xe | 13.3inch 2.8K OLED | Win 11 | Xám),Asus,Office,Intel,Intel Core,Integrated,Intel Arc / Integrated,32.0,DDR5 / LPDDR5,1024.0,SSD,"13"" - 14.5""",2K - 3K,60 - 90,Windows,1.0,False,True
P0286,Laptop Asus Zenbook Pro 14 Duo OLED UX8402VU-P1028W (Core i9-13900H |RTX 4050 6GB | 32GB | 1TB |  14.5 inch 2.8K OLED | Cảm ứng | Win 11 | Đen),Asus,Creator,Intel,Intel Core,Dedicated,Nvidia RTX/GTX,32.0,DDR5 / LPDDR5,1024.0,SSD,"13"" - 14.5""",2K - 3K,120 - 165,Windows,,False,True
P0287,Laptop Asus ROG Zephyrus G16 GU605CM-QR078W (Intel Core Ultra 9 285H | RTX 5060 8GB | 16 inch 2.5K OLED 240Hz | 32GB | 1TB | Win 11 | Xám),Asus,Gaming,Intel,Intel Core Ultra,Dedicated,Nvidia RTX/GTX,32.0,DDR5 / LPDDR5,1024.0,SSD,"15.6"" - 16.0""",2K - 3K,240+,Windows,1.85,True,True
P0288,Laptop Lenovo ThinkPad E14 Gen 7 21T9001YVA (Intel Core 5 210H | Intel Graphics | 14 inch WUXGA IPS | 16GB | 512GB | NoOS | Đen),Lenovo,Office,Intel,Intel Core,Integrated,Intel Arc / Integrated,16.0,DDR5 / LPDDR5,512.0,SSD,"13"" - 14.5""",FHD / FHD+,60 - 90,Windows,1.34,False,True
P0289,Laptop Lenovo ThinkPad T16 Gen 4 21QE0000VA (Intel Core Ultra 5 225H | Intel Arc 130T | 16 inch WUXGA IPS | 24GB | 512GB | NoOS | Đen),Lenovo,Office,Intel,Intel Core Ultra,Integrated,Intel Arc / Integrated,24.0,DDR5 / LPDDR5,512.0,SSD,"15.6"" - 16.0""",FHD / FHD+,60 - 90,Windows,1.76,True,True
P0290,Laptop MSI Cyborg 15 B2RWFKG-048VN (Intel Core 7 240H | RTX 5060 GDDR7 8GB | 15.6 inch FHD | 16GB | 512GB | Windows 11 Home SEA | Đen),MSI,Gaming,Intel,Intel Core,Dedicated,Nvidia RTX/GTX,16.0,DDR5 / LPDDR5,512.0,SSD,"15.6"" - 16.0""",FHD / FHD+,120 - 165,Windows,1.95,False,True
P0291,Laptop HP OmniBook 5 16-ag1067AU BZ7U5PA (AMD Ryzen AI 7 350 | AMD Radeon 860M | 16 inch WUXGA | 16 GB | 512 GB | Windows 11 Home | Office | Bạc),HP,Office,AMD,AMD Ryzen AI,Integrated,AMD Radeon,16.0,DDR5 / LPDDR5,512.0,SSD,"15.6"" - 16.0""",FHD / FHD+,Other,Windows,1.79,True,True
P0292,Laptop ASUS Zenbook S 16 UM5606KA-RK127WS (AMD Ryzen AI 7 350 Processor 2.0GHz | 24GB | 1TB | AMD Radeon | 16 inch 3K OLED | Win 11 | Office | Trắng),Asus,Office,AMD,AMD Ryzen AI,Integrated,AMD Radeon,24.0,DDR5 / LPDDR5,1024.0,SSD,"15.6"" - 16.0""",2K - 3K,120 - 165,Windows,1.5,True,True
P0293,Laptop ASUS ExpertBook P1403CVA-i5SE16-63WS (Intel Core i5-13500H | Intel UHD | 14 inch FHD | 16GB | 512GB | Win 11 | Office | Xám),Asus,Office,Intel,Intel Core,Integrated,Intel Arc / Integrated,16.0,DDR5 / LPDDR5,512.0,SSD,"13"" - 14.5""",FHD / FHD+,60 - 90,Windows,1.45,False,True
P0294,Laptop LENOVO ThinkPad X9-14 Gen 1 21QA006LVN (Intel Core Ultra 7 258V | Intel Arc Graphics 140V | 14 inch 2.8K OLED Touch | 32GB | 1TB | Win 11 Pro | Xám),Lenovo,Office,Intel,Intel Core Ultra,Integrated,Intel Arc / Integrated,32.0,DDR5 / LPDDR5,1024.0,SSD,"13"" - 14.5""",2K - 3K,120 - 165,Windows,1.27,True,True
P0295,Laptop ASUS ExpertBook B5 B5404CMA-Q70250WL (Intel Core Ultra 7 Processor 155H | 16GB | 512GB | Intel Arc | 14 inch WUXGA | Win 11 | Đen),Asus,Office,Intel,Intel Core Ultra,Integrated,Intel Arc / Integrated,16.0,DDR5 / LPDDR5,512.0,SSD,"13"" - 14.5""",FHD / FHD+,60 - 90,Windows,1.4,True,True
P0296,Laptop Lenovo ThinkPad  P14s Gen 5 T 21G2003TVN (Intel Core Ultra 7 155H | RTX 500 Ada | 14.5 inch 3K | 64GB | 1TB | Win 11 Pro | Đen),Lenovo,Office,Intel,Intel Core Ultra,Dedicated,Intel Arc / Integrated,64.0,DDR5 / LPDDR5,1024.0,SSD,"13"" - 14.5""",2K - 3K,120 - 165,Windows,1.61,True,True
P0297,Laptop HP Elitebook 630 G10 9J0B6PT (Intel Core i7-1355U | 8GB | 512GB | Intel UHD Graphics | 13.3 inch FHD | Win 11 Home | Bạc),HP,Office,Intel,Intel Core,Integrated,Intel Arc / Integrated,8.0,DDR4 / LPDDR4,512.0,SSD,"13"" - 14.5""",FHD / FHD+,60 - 90,Windows,1.22,False,True
P0298,Laptop LENOVO ThinkPad X9-14 Gen 1 21QA006KVN (Intel Core Ultra 7 258V | Intel Arc Graphics 140V | 14 inch WUXGA | 32GB | 1TB | Win 11 Pro | Xám),Lenovo,Office,Intel,Intel Core Ultra,Integrated,Intel Arc / Integrated,32.0,DDR5 / LPDDR5,1024.0,SSD,"13"" - 14.5""",FHD / FHD+,60 - 90,Windows,1.21,True,True
P0299,Laptop ASUS Gaming V16 V3607VJ-RP071W ( Intel Core 5 210H | RTX 3050 6GB | 16 inch WUXGA | 16GB | 512GB | Win 11 | Đen),Asus,Gaming,Intel,Intel Core,Dedicated,Nvidia RTX/GTX,16.0,DDR5 / LPDDR5,512.0,SSD,"15.6"" - 16.0""",FHD / FHD+,120 - 165,Windows,1.95,False,True
